capital_sociallicitacoes,atividade_principal_code,tipo,situacao,natureza_juridica,participacoes,vitorias,class
?,46.62-1-00,MATRIZ,ATIVA,206-2,4,4,NAO
?,47.31-8-00,MATRIZ,ATIVA,213-5,4,4,NAO
755500,86.40-2-07,MATRIZ,ATIVA,206-2,6,5,NAO
500000,45.30-7-05,MATRIZ,ATIVA,213-5,36,36,NAO
200000,41.20-4-00,MATRIZ,ATIVA,206-2,4,3,NAO
?,47.44-0-01,MATRIZ,ATIVA,213-5,2,2,NAO
500000,46.73-7-00,MATRIZ,ATIVA,206-2,2,2,NAO
250000,46.44-3-01,MATRIZ,ATIVA,206-2,2,2,NAO
60000,47.24-5-00,MATRIZ,ATIVA,213-5,3,1,NAO
395776664.99,20.14-2-00,FILIAL,ATIVA,206-2,2,0,NAO
100000,43.99-1-03,MATRIZ,ATIVA,213-5,2,2,NAO
20000,47.51-2-01,MATRIZ,ATIVA,206-2,8,5,NAO
90000,47.11-3-02,MATRIZ,ATIVA,213-5,5,5,NAO
45000,47.53-9-00,MATRIZ,ATIVA,213-5,6,5,NAO
20000,90.01-9-02,MATRIZ,ATIVA,213-5,2,2,NAO
100000,47.61-0-03,MATRIZ,ATIVA,206-2,62,47,NAO
?,47.31-8-00,MATRIZ,ATIVA,206-2,3,2,NAO
450000,46.93-1-00,MATRIZ,ATIVA,206-2,3,3,NAO
?,46.93-1-00,MATRIZ,ATIVA,206-2,2,2,NAO
?,47.13-0-01,FILIAL,ATIVA,206-2,4,4,NAO
30000,45.30-7-03,MATRIZ,ATIVA,213-5,3,3,NAO
300000,79.11-2-00,MATRIZ,ATIVA,230-5,6,6,NAO
500000,49.29-9-02,MATRIZ,ATIVA,230-5,4,2,NAO
?,47.89-0-99,MATRIZ,ATIVA,213-5,4,5,NAO
?,45.30-7-03,MATRIZ,ATIVA,206-2,2,2,NAO
15000,47.61-0-03,MATRIZ,ATIVA,213-5,2,2,NAO
?,47.71-7-01,MATRIZ,ATIVA,213-5,2,2,NAO
?,62.09-1-00,MATRIZ,ATIVA,213-5,28,28,NAO
155000,46.45-1-01,MATRIZ,ATIVA,206-2,2,2,NAO
?,47.71-7-01,MATRIZ,ATIVA,213-5,3,3,NAO
?,47.21-1-02,MATRIZ,ATIVA,213-5,5,5,NAO
?,45.11-1-01,MATRIZ,ATIVA,206-2,37,31,NAO
80000,47.54-7-01,MATRIZ,ATIVA,206-2,5,3,NAO
100000,45.30-7-05,MATRIZ,ATIVA,206-2,26,24,NAO
100000,96.03-3-04,MATRIZ,ATIVA,206-2,6,6,NAO
140000,47.31-8-00,MATRIZ,ATIVA,206-2,3,1,NAO
70000,47.71-7-01,MATRIZ,ATIVA,213-5,4,4,NAO
70000,47.12-1-00,MATRIZ,ATIVA,213-5,2,2,NAO
?,47.11-3-02,MATRIZ,ATIVA,206-2,3,3,NAO
?,47.24-5-00,MATRIZ,ATIVA,213-5,2,1,SIM
3000,86.40-2-02,MATRIZ,ATIVA,206-2,2,2,NAO
?,47.55-5-02,MATRIZ,ATIVA,213-5,29,25,NAO
20000,96.03-3-04,MATRIZ,ATIVA,213-5,2,2,NAO
20000,47.71-7-01,MATRIZ,ATIVA,206-2,2,2,NAO
90000,95.21-5-00,MATRIZ,ATIVA,230-5,3,1,NAO
30000,18.22-9-99,MATRIZ,ATIVA,213-5,5,5,NAO
?,45.30-7-03,MATRIZ,ATIVA,206-2,2,2,NAO
?,47.44-0-05,MATRIZ,ATIVA,213-5,4,4,NAO
200000,14.22-3-00,MATRIZ,ATIVA,206-2,27,11,NAO
300000,47.31-8-00,MATRIZ,ATIVA,206-2,3,3,NAO
?,10.91-1-01,MATRIZ,ATIVA,213-5,2,2,NAO
?,47.71-7-01,FILIAL,ATIVA,206-2,21,20,NAO
?,47.71-7-01,FILIAL,ATIVA,206-2,5,5,NAO
30000,47.81-4-00,MATRIZ,ATIVA,213-5,7,2,NAO
5000000,46.44-3-01,MATRIZ,ATIVA,206-2,4,2,NAO
?,10.91-1-01,MATRIZ,ATIVA,213-5,2,1,NAO
?,86.30-5-02,MATRIZ,ATIVA,206-2,13,13,NAO
45000,47.51-2-01,MATRIZ,ATIVA,213-5,26,23,NAO
20000,96.03-3-04,MATRIZ,ATIVA,213-5,2,2,NAO
150000,47.42-3-00,MATRIZ,ATIVA,206-2,2,2,NAO
1500000,41.20-4-00,MATRIZ,ATIVA,206-2,7,5,NAO
200000,47.44-0-99,MATRIZ,ATIVA,213-5,41,31,NAO
60000,45.11-1-02,MATRIZ,ATIVA,206-2,2,2,NAO
10000,47.31-8-00,MATRIZ,ATIVA,206-2,13,13,NAO
