atividade_principal_code,tipo,situacao,natureza_juridica,participacoes,vitorias,class
46.62-1-00,MATRIZ,ATIVA,206-2,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,SIM
47.31-8-00,MATRIZ,ATIVA,213-5,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
86.40-2-07,MATRIZ,ATIVA,206-2,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
45.30-7-05,MATRIZ,ATIVA,213-5,MUITO FREQUENTE,MUITO FREQUENTE,NAO
41.20-4-00,MATRIZ,ATIVA,206-2,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
47.44-0-01,MATRIZ,ATIVA,213-5,POUCO FREQUENTE,POUCO FREQUENTE,NAO
46.73-7-00,MATRIZ,ATIVA,206-2,POUCO FREQUENTE,POUCO FREQUENTE,NAO
46.44-3-01,MATRIZ,ATIVA,206-2,POUCO FREQUENTE,POUCO FREQUENTE,NAO
47.24-5-00,MATRIZ,ATIVA,213-5,MODERADAMENTE FREQUENTE,POUCO FREQUENTE,NAO
20.14-2-00,FILIAL,ATIVA,206-2,POUCO FREQUENTE,NUNCA VENCEU,NAO
43.99-1-03,MATRIZ,ATIVA,213-5,POUCO FREQUENTE,POUCO FREQUENTE,NAO
47.51-2-01,MATRIZ,ATIVA,206-2,FREQUENTE,MODERADAMENTE FREQUENTE,NAO
47.11-3-02,MATRIZ,ATIVA,213-5,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
47.53-9-00,MATRIZ,ATIVA,213-5,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
90.01-9-02,MATRIZ,ATIVA,213-5,POUCO FREQUENTE,POUCO FREQUENTE,NAO
47.61-0-03,MATRIZ,ATIVA,206-2,MUITO FREQUENTE,MUITO FREQUENTE,NAO
47.31-8-00,MATRIZ,ATIVA,206-2,MODERADAMENTE FREQUENTE,POUCO FREQUENTE,NAO
46.93-1-00,MATRIZ,ATIVA,206-2,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
46.93-1-00,MATRIZ,ATIVA,206-2,POUCO FREQUENTE,POUCO FREQUENTE,NAO
47.13-0-01,FILIAL,ATIVA,206-2,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
45.30-7-03,MATRIZ,ATIVA,213-5,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
79.11-2-00,MATRIZ,ATIVA,230-5,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
49.29-9-02,MATRIZ,ATIVA,230-5,MODERADAMENTE FREQUENTE,POUCO FREQUENTE,NAO
47.89-0-99,MATRIZ,ATIVA,213-5,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
45.30-7-03,MATRIZ,ATIVA,206-2,POUCO FREQUENTE,POUCO FREQUENTE,NAO
47.61-0-03,MATRIZ,ATIVA,213-5,POUCO FREQUENTE,POUCO FREQUENTE,NAO
47.71-7-01,MATRIZ,ATIVA,213-5,POUCO FREQUENTE,POUCO FREQUENTE,NAO
62.09-1-00,MATRIZ,ATIVA,213-5,MUITO FREQUENTE,MUITO FREQUENTE,NAO
46.45-1-01,MATRIZ,ATIVA,206-2,POUCO FREQUENTE,POUCO FREQUENTE,NAO
47.71-7-01,MATRIZ,ATIVA,213-5,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
47.21-1-02,MATRIZ,ATIVA,213-5,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
45.11-1-01,MATRIZ,ATIVA,206-2,MUITO FREQUENTE,MUITO FREQUENTE,NAO
47.54-7-01,MATRIZ,ATIVA,206-2,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
45.30-7-05,MATRIZ,ATIVA,206-2,MUITO FREQUENTE,MUITO FREQUENTE,NAO
96.03-3-04,MATRIZ,ATIVA,206-2,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
47.31-8-00,MATRIZ,ATIVA,206-2,MODERADAMENTE FREQUENTE,POUCO FREQUENTE,NAO
47.71-7-01,MATRIZ,ATIVA,213-5,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
47.12-1-00,MATRIZ,ATIVA,213-5,POUCO FREQUENTE,POUCO FREQUENTE,NAO
47.11-3-02,MATRIZ,ATIVA,206-2,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
47.24-5-00,MATRIZ,ATIVA,213-5,POUCO FREQUENTE,POUCO FREQUENTE,SIM
86.40-2-02,MATRIZ,ATIVA,206-2,POUCO FREQUENTE,POUCO FREQUENTE,NAO
47.55-5-02,MATRIZ,ATIVA,213-5,MUITO FREQUENTE,MUITO FREQUENTE,NAO
96.03-3-04,MATRIZ,ATIVA,213-5,POUCO FREQUENTE,POUCO FREQUENTE,NAO
47.71-7-01,MATRIZ,ATIVA,206-2,POUCO FREQUENTE,POUCO FREQUENTE,NAO
95.21-5-00,MATRIZ,ATIVA,230-5,MODERADAMENTE FREQUENTE,POUCO FREQUENTE,NAO
18.22-9-99,MATRIZ,ATIVA,213-5,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
45.30-7-03,MATRIZ,ATIVA,206-2,POUCO FREQUENTE,POUCO FREQUENTE,NAO
47.44-0-05,MATRIZ,ATIVA,213-5,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
14.22-3-00,MATRIZ,ATIVA,206-2,MUITO FREQUENTE,FREQUENTE,NAO
47.31-8-00,MATRIZ,ATIVA,206-2,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
10.91-1-01,MATRIZ,ATIVA,213-5,POUCO FREQUENTE,POUCO FREQUENTE,NAO
47.71-7-01,FILIAL,ATIVA,206-2,MUITO FREQUENTE,MUITO FREQUENTE,NAO
47.71-7-01,FILIAL,ATIVA,206-2,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
47.81-4-00,MATRIZ,ATIVA,213-5,MODERADAMENTE FREQUENTE,POUCO FREQUENTE,NAO
46.44-3-01,MATRIZ,ATIVA,206-2,MODERADAMENTE FREQUENTE,POUCO FREQUENTE,NAO
10.91-1-01,MATRIZ,ATIVA,213-5,POUCO FREQUENTE,POUCO FREQUENTE,NAO
86.30-5-02,MATRIZ,ATIVA,206-2,FREQUENTE,FREQUENTE,NAO
47.51-2-01,MATRIZ,ATIVA,213-5,MUITO FREQUENTE,MUITO FREQUENTE,NAO
96.03-3-04,MATRIZ,ATIVA,213-5,POUCO FREQUENTE,POUCO FREQUENTE,NAO
47.42-3-00,MATRIZ,ATIVA,206-2,POUCO FREQUENTE,POUCO FREQUENTE,NAO
41.20-4-00,MATRIZ,ATIVA,206-2,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
47.44-0-99,MATRIZ,ATIVA,213-5,MUITO FREQUENTE,MUITO FREQUENTE,NAO
45.11-1-02,MATRIZ,ATIVA,206-2,POUCO FREQUENTE,POUCO FREQUENTE,NAO
47.31-8-00,MATRIZ,ATIVA,206-2,FREQUENTE,FREQUENTE,NAO
86.30-5-03,MATRIZ,ATIVA,206-2,POUCO FREQUENTE,POUCO FREQUENTE,NAO
47.31-8-00,MATRIZ,ATIVA,213-5,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
33.12-1-03,MATRIZ,ATIVA,206-2,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
18.13-0-99,MATRIZ,ATIVA,206-2,FREQUENTE,FREQUENTE,NAO
45.30-7-03,MATRIZ,ATIVA,206-2,MODERADAMENTE FREQUENTE,FREQUENTE,NAO
47.44-0-99,MATRIZ,ATIVA,213-5,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
47.89-0-99,MATRIZ,ATIVA,206-2,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
18.12-1-00,MATRIZ,ATIVA,206-2,MUITO FREQUENTE,MODERADAMENTE FREQUENTE,NAO
58.29-8-00,MATRIZ,ATIVA,213-5,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
18.13-0-99,MATRIZ,ATIVA,206-2,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
47.54-7-01,MATRIZ,ATIVA,206-2,MODERADAMENTE FREQUENTE,NUNCA VENCEU,NAO
45.30-7-03,MATRIZ,ATIVA,206-2,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
32.50-7-02,MATRIZ,ATIVA,213-5,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
47.11-3-02,MATRIZ,ATIVA,213-5,FREQUENTE,FREQUENTE,NAO
45.41-2-03,MATRIZ,ATIVA,206-2,FREQUENTE,MODERADAMENTE FREQUENTE,NAO
45.41-2-03,MATRIZ,ATIVA,206-2,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
45.30-7-05,MATRIZ,ATIVA,213-5,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
47.71-7-01,MATRIZ,ATIVA,213-5,POUCO FREQUENTE,POUCO FREQUENTE,NAO
77.11-0-00,MATRIZ,ATIVA,206-2,POUCO FREQUENTE,POUCO FREQUENTE,NAO
47.71-7-01,MATRIZ,ATIVA,213-5,POUCO FREQUENTE,POUCO FREQUENTE,NAO
47.84-9-00,MATRIZ,ATIVA,206-2,MODERADAMENTE FREQUENTE,POUCO FREQUENTE,NAO
18.13-0-99,MATRIZ,ATIVA,206-2,FREQUENTE,POUCO FREQUENTE,NAO
62.02-3-00,MATRIZ,ATIVA,206-2,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,SIM
47.44-0-01,MATRIZ,ATIVA,213-5,POUCO FREQUENTE,POUCO FREQUENTE,NAO
46.34-6-03,MATRIZ,ATIVA,206-2,FREQUENTE,FREQUENTE,NAO
90.01-9-06,MATRIZ,ATIVA,213-5,MODERADAMENTE FREQUENTE,POUCO FREQUENTE,NAO
45.41-2-05,MATRIZ,ATIVA,213-5,POUCO FREQUENTE,POUCO FREQUENTE,NAO
58.29-8-00,MATRIZ,ATIVA,206-2,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
47.44-0-05,MATRIZ,ATIVA,213-5,POUCO FREQUENTE,POUCO FREQUENTE,NAO
47.31-8-00,MATRIZ,ATIVA,206-2,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
47.12-1-00,MATRIZ,ATIVA,230-5,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
38.12-2-00,FILIAL,ATIVA,206-2,POUCO FREQUENTE,NUNCA VENCEU,NAO
38.12-2-00,FILIAL,ATIVA,206-2,MODERADAMENTE FREQUENTE,POUCO FREQUENTE,NAO
45.30-7-03,MATRIZ,ATIVA,213-5,POUCO FREQUENTE,POUCO FREQUENTE,NAO
62.03-1-00,MATRIZ,ATIVA,213-5,FREQUENTE,FREQUENTE,NAO
10.91-1-01,MATRIZ,ATIVA,213-5,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
10.91-1-02,MATRIZ,ATIVA,213-5,POUCO FREQUENTE,POUCO FREQUENTE,NAO
41.20-4-00,MATRIZ,ATIVA,230-5,POUCO FREQUENTE,MODERADAMENTE FREQUENTE,NAO
96.03-3-04,MATRIZ,ATIVA,213-5,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
47.12-1-00,MATRIZ,ATIVA,213-5,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
47.44-0-02,MATRIZ,ATIVA,206-2,POUCO FREQUENTE,POUCO FREQUENTE,NAO
46.44-3-01,MATRIZ,ATIVA,206-2,MUITO FREQUENTE,MUITO FREQUENTE,NAO
47.44-0-01,MATRIZ,ATIVA,213-5,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
55.10-8-01,MATRIZ,ATIVA,206-2,POUCO FREQUENTE,POUCO FREQUENTE,NAO
46.44-3-01,MATRIZ,ATIVA,206-2,MUITO FREQUENTE,MUITO FREQUENTE,NAO
77.39-0-99,MATRIZ,ATIVA,206-2,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
47.81-4-00,MATRIZ,ATIVA,213-5,POUCO FREQUENTE,POUCO FREQUENTE,NAO
86.40-2-04,MATRIZ,ATIVA,213-5,FREQUENTE,FREQUENTE,NAO
47.54-7-01,MATRIZ,ATIVA,213-5,FREQUENTE,FREQUENTE,NAO
47.44-0-05,MATRIZ,ATIVA,213-5,POUCO FREQUENTE,POUCO FREQUENTE,NAO
47.84-9-00,MATRIZ,ATIVA,213-5,POUCO FREQUENTE,POUCO FREQUENTE,NAO
46.41-9-01,MATRIZ,ATIVA,206-2,FREQUENTE,FREQUENTE,NAO
47.44-0-99,MATRIZ,ATIVA,206-2,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,SIM
46.61-3-00,MATRIZ,ATIVA,206-2,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
20.73-8-00,MATRIZ,ATIVA,206-2,POUCO FREQUENTE,NUNCA VENCEU,NAO
47.51-2-01,MATRIZ,ATIVA,206-2,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
47.12-1-00,MATRIZ,ATIVA,213-5,FREQUENTE,FREQUENTE,NAO
77.11-0-00,MATRIZ,ATIVA,230-5,MODERADAMENTE FREQUENTE,POUCO FREQUENTE,NAO
86.40-2-02,MATRIZ,ATIVA,230-5,POUCO FREQUENTE,POUCO FREQUENTE,NAO
47.81-4-00,MATRIZ,ATIVA,213-5,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
47.44-0-99,MATRIZ,ATIVA,206-2,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
47.31-8-00,MATRIZ,ATIVA,230-5,POUCO FREQUENTE,MODERADAMENTE FREQUENTE,NAO
86.40-2-99,MATRIZ,ATIVA,206-2,MODERADAMENTE FREQUENTE,POUCO FREQUENTE,NAO
47.57-1-00,MATRIZ,ATIVA,213-5,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
82.11-3-00,MATRIZ,ATIVA,206-2,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
41.20-4-00,MATRIZ,ATIVA,230-5,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
47.51-2-01,FILIAL,ATIVA,206-2,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
47.89-0-07,MATRIZ,ATIVA,206-2,POUCO FREQUENTE,POUCO FREQUENTE,NAO
42.99-5-99,MATRIZ,ATIVA,206-2,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
10.66-0-00,MATRIZ,ATIVA,213-5,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
61.90-6-01,MATRIZ,ATIVA,230-5,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
23.30-3-01,MATRIZ,ATIVA,206-2,MODERADAMENTE FREQUENTE,POUCO FREQUENTE,NAO
45.11-1-04,MATRIZ,ATIVA,206-2,MUITO FREQUENTE,MUITO FREQUENTE,NAO
41.20-4-00,MATRIZ,ATIVA,206-2,MODERADAMENTE FREQUENTE,POUCO FREQUENTE,NAO
49.30-2-02,MATRIZ,ATIVA,206-2,MODERADAMENTE FREQUENTE,POUCO FREQUENTE,NAO
47.44-0-05,MATRIZ,ATIVA,213-5,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
47.89-0-99,MATRIZ,ATIVA,206-2,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
45.30-7-05,MATRIZ,ATIVA,206-2,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
47.44-0-02,MATRIZ,ATIVA,213-5,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
47.31-8-00,MATRIZ,ATIVA,206-2,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
10.91-1-01,MATRIZ,ATIVA,213-5,POUCO FREQUENTE,POUCO FREQUENTE,NAO
47.44-0-99,MATRIZ,ATIVA,213-5,POUCO FREQUENTE,POUCO FREQUENTE,NAO
77.11-0-00,MATRIZ,ATIVA,213-5,FREQUENTE,MODERADAMENTE FREQUENTE,NAO
47.12-1-00,MATRIZ,ATIVA,213-5,POUCO FREQUENTE,POUCO FREQUENTE,NAO
47.44-0-99,FILIAL,ATIVA,206-2,POUCO FREQUENTE,MODERADAMENTE FREQUENTE,NAO
47.89-0-99,MATRIZ,ATIVA,213-5,POUCO FREQUENTE,POUCO FREQUENTE,NAO
17.32-0-00,MATRIZ,ATIVA,213-5,POUCO FREQUENTE,POUCO FREQUENTE,NAO
47.44-0-99,MATRIZ,ATIVA,206-2,POUCO FREQUENTE,POUCO FREQUENTE,NAO
47.44-0-05,MATRIZ,ATIVA,213-5,POUCO FREQUENTE,POUCO FREQUENTE,NAO
45.41-2-03,FILIAL,ATIVA,206-2,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
10.91-1-01,MATRIZ,ATIVA,213-5,FREQUENTE,FREQUENTE,NAO
14.12-6-01,MATRIZ,ATIVA,213-5,FREQUENTE,FREQUENTE,NAO
47.89-0-99,MATRIZ,ATIVA,213-5,POUCO FREQUENTE,POUCO FREQUENTE,NAO
47.31-8-00,MATRIZ,ATIVA,206-2,MODERADAMENTE FREQUENTE,FREQUENTE,NAO
14.12-6-01,MATRIZ,ATIVA,213-5,MODERADAMENTE FREQUENTE,POUCO FREQUENTE,NAO
45.11-1-04,MATRIZ,ATIVA,206-2,FREQUENTE,FREQUENTE,NAO
47.12-1-00,MATRIZ,ATIVA,213-5,POUCO FREQUENTE,POUCO FREQUENTE,SIM
47.51-2-01,MATRIZ,ATIVA,213-5,FREQUENTE,FREQUENTE,NAO
41.20-4-00,MATRIZ,ATIVA,230-5,MUITO FREQUENTE,FREQUENTE,NAO
47.29-6-99,MATRIZ,ATIVA,213-5,POUCO FREQUENTE,MODERADAMENTE FREQUENTE,NAO
46.44-3-01,MATRIZ,ATIVA,206-2,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
47.41-5-00,MATRIZ,ATIVA,206-2,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
47.31-8-00,MATRIZ,ATIVA,206-2,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
10.31-7-00,MATRIZ,ATIVA,213-5,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
46.73-7-00,MATRIZ,ATIVA,206-2,POUCO FREQUENTE,POUCO FREQUENTE,NAO
47.44-0-05,MATRIZ,ATIVA,213-5,POUCO FREQUENTE,POUCO FREQUENTE,NAO
60.10-1-00,FILIAL,ATIVA,206-2,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
47.81-4-00,MATRIZ,ATIVA,213-5,FREQUENTE,MODERADAMENTE FREQUENTE,NAO
77.11-0-00,MATRIZ,ATIVA,230-5,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
47.55-5-02,MATRIZ,ATIVA,213-5,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
86.40-2-05,MATRIZ,ATIVA,206-2,POUCO FREQUENTE,POUCO FREQUENTE,NAO
47.44-0-05,MATRIZ,ATIVA,213-5,MODERADAMENTE FREQUENTE,POUCO FREQUENTE,NAO
43.21-5-00,MATRIZ,ATIVA,213-5,POUCO FREQUENTE,POUCO FREQUENTE,NAO
47.44-0-05,MATRIZ,ATIVA,230-5,MUITO FREQUENTE,MUITO FREQUENTE,NAO
45.11-1-01,MATRIZ,ATIVA,206-2,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
86.40-2-05,MATRIZ,ATIVA,206-2,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
37.02-9-00,MATRIZ,ATIVA,213-5,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
46.44-3-01,MATRIZ,ATIVA,206-2,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
46.45-1-01,MATRIZ,ATIVA,206-2,MUITO FREQUENTE,MUITO FREQUENTE,SIM
47.21-1-02,MATRIZ,ATIVA,213-5,POUCO FREQUENTE,POUCO FREQUENTE,NAO
45.30-7-05,MATRIZ,ATIVA,206-2,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
10.91-1-02,MATRIZ,ATIVA,213-5,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
47.44-0-99,FILIAL,ATIVA,213-5,POUCO FREQUENTE,POUCO FREQUENTE,NAO
95.11-8-00,MATRIZ,ATIVA,206-2,POUCO FREQUENTE,NUNCA VENCEU,NAO
47.89-0-99,MATRIZ,ATIVA,213-5,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
26.21-3-00,MATRIZ,ATIVA,206-2,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
31.01-2-00,MATRIZ,ATIVA,206-2,MODERADAMENTE FREQUENTE,NUNCA VENCEU,NAO
47.84-9-00,MATRIZ,ATIVA,213-5,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
85.93-7-00,MATRIZ,ATIVA,213-5,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
47.12-1-00,MATRIZ,ATIVA,213-5,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
47.89-0-99,MATRIZ,ATIVA,206-2,FREQUENTE,FREQUENTE,NAO
33.11-2-00,MATRIZ,ATIVA,230-5,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
47.89-0-07,MATRIZ,ATIVA,206-2,FREQUENTE,FREQUENTE,NAO
96.03-3-04,MATRIZ,ATIVA,213-5,POUCO FREQUENTE,POUCO FREQUENTE,NAO
47.63-6-03,MATRIZ,ATIVA,213-5,POUCO FREQUENTE,POUCO FREQUENTE,NAO
41.20-4-00,MATRIZ,ATIVA,206-2,POUCO FREQUENTE,POUCO FREQUENTE,NAO
47.89-0-99,MATRIZ,ATIVA,206-2,POUCO FREQUENTE,POUCO FREQUENTE,NAO
45.30-7-03,MATRIZ,ATIVA,213-5,POUCO FREQUENTE,POUCO FREQUENTE,NAO
47.31-8-00,MATRIZ,ATIVA,206-2,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
18.13-0-01,MATRIZ,ATIVA,206-2,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,NAO
47.12-1-00,MATRIZ,ATIVA,213-5,POUCO FREQUENTE,POUCO FREQUENTE,NAO
47.44-0-05,MATRIZ,ATIVA,213-5,MODERADAMENTE FREQUENTE,MODERADAMENTE FREQUENTE,SIM
47.31-8-00,MATRIZ,ATIVA,206-2,FREQUENTE,FREQUENTE,NAO
73.11-4-00,MATRIZ,ATIVA,206-2,POUCO FREQUENTE,POUCO FREQUENTE,NAO
47.11-3-02,MATRIZ,ATIVA,206-2,MUITO FREQUENTE,MUITO FREQUENTE,NAO
47.71-7-01,FILIAL,ATIVA,213-5,POUCO FREQUENTE,POUCO FREQUENTE,NAO
77.11-0-00,MATRIZ,ATIVA,230-5,POUCO FREQUENTE,POUCO FREQUENTE,NAO
