v=63*94 ==> 08*26=p & 22,45\% & 100,00\% \\
v=19*73 ==> 05*20=p & 12,96\% & 100,00\% \\
v=12*14 ==> 06*95=p & 12,65\% & 100,00\% \\
v=18*49 ==> 19*75=p & 11,07\% & 100,00\% \\
v=16*60 ==> 12*09=p & 10,12\% & 100,00\% \\
03*20=p ==> 10*96=p & 11,70\% & 74,00\% \\
19*75=p ==> 05*20=p & 18,02\% & 63,00\% \\
06*95=p 04*06=p ==> 12*09=p & 12,01\% & 61,00\% \\
12*09=p 06*95=p ==> 04*06=p & 12,01\% & 60,00\% \\
12*09=p 04*06=p ==> 06*95=p & 12,01\% & 54,00\% \\
10*96=p ==> 14*76=p & 12,01\% & 53,00\% \\
10*96=p ==> 03*20=p & 11,70\% & 51,00\% \\
12*09=p ==> 04*06=p & 22,45\% & 51,00\% \\
05*20=p ==> 19*75=p & 18,02\% & 50,00\% \\
07*63=p ==> 08*26=p & 10,12\% & 48,00\% \\
05*75=p ==> 08*26=p & 18,34\% & 48,00\% \\
12*09=p ==> 06*95=p & 19,92\% & 45,00\% \\
04*06=p ==> 12*09=p & 22,45\% & 43,00\% \\
06*95=p ==> 12*09=p & 19,92\% & 42,00\% \\
06*95=p ==> 04*06=p & 19,60\% & 41,00\% \\
04*99=p ==> 20*50=p & 10,75\% & 40,00\% \\
19*75=p ==> v=18*49 & 11,07\% & 39,00\% \\
05*12=p ==> 05*75=p & 10,75\% & 39,00\% \\
14*76=p ==> 10*96=p & 12,01\% & 38,00\% \\
02*59=p ==> 09*08=p & 11,70\% & 38,00\% \\
04*06=p ==> 06*95=p & 19,60\% & 38,00\% \\
08*26=p ==> v=63*94 & 22,45\% & 37,00\% \\
05*20=p ==> v=19*73 & 12,96\% & 36,00\% \\
09*08=p ==> 06*95=p & 15,18\% & 35,00\% \\
05*20=p ==> 09*08=p & 11,38\% & 32,00\% \\
06*95=p ==> 09*08=p & 15,18\% & 32,00\% \\
08*26=p ==> 05*75=p & 18,34\% & 30,00\% \\
05*75=p ==> 05*12=p & 10,75\% & 28,00\% \\
12*09=p ==> 06*95=p 04*06=p & 12,01\% & 27,00\% \\
05*75=p ==> 04*06=p & 10,12\% & 27,00\% \\
09*08=p ==> 02*59=p & 11,70\% & 27,00\% \\
06*95=p ==> v=12*14 & 12,65\% & 26,00\% \\
09*08=p ==> 05*20=p & 11,38\% & 26,00\% \\
09*08=p ==> 04*06=p & 11,38\% & 26,00\% \\
06*95=p ==> 12*09=p 04*06=p & 12,01\% & 25,00\% \\
20*50=p ==> 04*99=p & 10,75\% & 24,00\% \\
04*06=p ==> 12*09=p 06*95=p & 12,01\% & 23,00\% \\
12*09=p ==> v=16*60 & 10,12\% & 23,00\% \\
04*06=p ==> 09*08=p & 11,38\% & 22,00\% \\
04*06=p ==> 05*75=p & 10,12\% & 19,00\% \\
08*26=p ==> 07*63=p & 10,12\% & 17,00\%
